Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
Interest,2.09,67.02,176.73,69.74,Fees,2024-04-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,11.49,368.47,971.61,383.43,Fees,2024-04-22,UFCU Platinum Cashback,USD
Ultra Mobile,28.06,899.86,"2,372.79",936.38,Utilities,2024-04-22,WF Checking,USD
Walgreens,7.08,227.05,598.69,236.26,Miscellaneous,2024-04-23,Chase Freedom Flex,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-04-23,WF Checking,USD
O's Cafe,2.96,94.92,250.3,98.78,Eating/Drinking Out,2024-04-24,Chase Checking,USD
7-Eleven,2.69,86.27,227.47,89.77,Eating/Drinking Out,2024-04-24,Chase Checking,USD
Target,6.2,198.83,524.28,206.9,Groceries,2024-04-24,Chase Checking,USD
Target,5.98,191.77,505.68,199.56,Groceries,2024-04-24,SoFi Checking,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-04-25,Chase Checking,USD
Wheatsville Co-Op,12.77,409.52,"1,079.85",426.14,Groceries,2024-04-25,Chase Checking,USD
AAA,20,641.38,"1,691.22",667.41,Travel,2024-04-26,WF Checking,USD
HEB,52.4,1680.42,"4,431.00","1,748.61",Groceries,2024-04-26,WF Checking,USD
HEB,6.6,211.66,558.1,220.25,Groceries,2024-04-26,Chase Checking,USD
Target,7.58,243.08,640.97,252.95,Groceries,2024-04-26,Chase Checking,USD
Electricity & Internet,97.58,3129.29,"8,251.48","3,256.29",Utilities,2024-04-26,Chase Checking,USD
Target,4.31,138.22,364.46,143.83,Groceries,2024-04-27,SoFi Checking,USD
Kerbey Lane Cafe,16.66,534.27,"1,408.79",555.95,Eating/Drinking Out,2024-04-29,Chase Freedom Flex,USD
CVS Pharmacy,3.13,100.38,264.68,104.45,Groceries,2024-04-29,Discover It Cashback,USD
Target,2.4,76.97,202.95,80.09,Groceries,2024-04-29,Chase Freedom Flex,USD
Chick-fil-A,3.45,110.64,291.74,115.13,Eating/Drinking Out,2024-04-30,UFCU Platinum Cashback,USD
Target,3.94,126.35,333.17,131.48,Groceries,2024-04-30,UFCU Platinum Cashback,USD
FlixBus,30.98,993.5,"2,619.70","1,033.82",Travel,2024-04-30,Chase Checking,USD
Sweetgreen,13.53,433.89,"1,144.11",451.5,Eating/Drinking Out,2024-05-01,UFCU Platinum Cashback,USD
CVS Pharmacy,8.11,260.08,685.79,270.63,Groceries,2024-05-01,Chase Checking,USD
Wheatsville Co-Op,5.98,191.77,505.68,199.56,Groceries,2024-05-02,Chase Checking,USD
Whataburger,3.67,117.69,310.34,122.47,Eating/Drinking Out,2024-05-02,UFCU Platinum Cashback,USD
Ram Austin Property Management,927.49,29743.68,"78,429.63","30,950.81",Rent,2024-05-03,WF Checking,USD
Trader Joe's,5.4,173.17,456.63,180.2,Miscellaneous,2024-05-03,Chase Checking,USD
Target,5.67,181.83,479.46,189.21,Groceries,2024-05-04,UFCU Platinum Cashback,USD
Target,11.22,359.81,948.78,374.42,Groceries,2024-05-05,UFCU Platinum Cashback,USD
Flower Child,17.21,551.91,"1,455.30",574.31,Eating/Drinking Out,2024-05-06,Discover It Cashback,USD
Target,17.53,562.17,"1,482.36",584.98,Miscellaneous,2024-05-06,UFCU Platinum Cashback,USD
Uber,8.2,262.97,693.4,273.64,Travel,2024-05-08,Chase Freedom Flex,USD
Tickermaster,25,801.73,"2,114.03",834.26,Entertainment,2024-05-08,SoFi Checking,USD
TikTok Shop,25.5,817.76,"2,156.31",850.95,Miscellaneous,2024-05-09,WF Checking,USD
Debit Card Fee,4.19,134.25,354,139.7,Fees,2024-05-09,Bank of Baroda Savings,INR
