Name,Amount (USD),Amount (TWD),Amount (INR),Amount (THB),Category,Date,Source,Currency Used
JINYA Ramen Bar,24.42,783.12,"2,064.98",814.91,Eating/Drinking Out,2024-09-29,Discover It Cashback,USD
Orange Market,3.78,121.22,319.64,126.14,Groceries,2024-09-30,Chase Checking,USD
Las Trancas Taco Stand,11.12,356.61,940.32,371.08,Eating/Drinking Out,2024-10-01,Chase Checking,USD
Parking,3.75,120.26,317.1,125.14,Travel,2024-10-01,Chase Checking,USD
CVS Pharmacy,8.32,266.81,703.55,277.64,Groceries,2024-10-02,Discover It Cashback,USD
Rent,877.49,28140.23,"74,201.57","29,282.28",Rent,2024-10-02,UFCU Checking,USD
Pinch,9.73,312.03,822.78,324.69,Eating/Drinking Out,2024-10-02,Chase Checking,USD
Chick-fil-A,9.52,305.3,805.02,317.69,Eating/Drinking Out,2024-10-03,Discover It Cashback,USD
Wheatsville Co-Op,33,1058.28,"2,790.52","1,101.23",Groceries,2024-10-04,Chase Checking,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-10-04,Discover It Cashback,USD
VFS Global,183.77,5893.39,"15,540.00","6,132.57",Fees,2024-10-04,Axis Bank Savings,INR
Trader Joe's,64.17,2057.87,"5,426.29","2,141.38",Groceries,2024-10-05,Chase Checking,USD
Uber,5,160.35,422.81,166.85,Travel,2024-10-06,WF Checking,USD
Chuy's,27.46,880.61,"2,322.05",916.35,Eating/Drinking Out,2024-10-06,Discover It Cashback,USD
Amazon,226.23,7254.97,"19,130.27","7,549.41",Tech,2024-10-07,Discover It Cashback,USD
IndiGo,78.53,2518.53,"6,641.00","2,620.75",Travel,2024-10-08,Axis Bank Savings,INR
ATX Gyro,5.95,190.81,503.14,198.55,Groceries,2024-10-09,Chase Checking,USD
Target,16.5,529.14,"1,395.26",550.61,Miscellaneous,2024-10-10,WF Checking,USD
Electricity & Internet,153.4,4919.38,"12,971.68","5,119.03",Utilities,2024-10-11,WF Checking,USD
Flower Child,38.22,1225.68,"3,231.93","1,275.42",Eating/Drinking Out,2024-10-11,Discover It Cashback,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-10-11,UFCU Platinum Cashback,USD
New Guild Party,10,320.69,845.61,333.71,Entertainment,2024-10-11,Chase Checking,USD
Six Flags Over Texas,97.41,3123.84,"8,237.10","3,250.62",Entertainment,2024-10-11,Chase Freedom Flex,USD
In-N-Out,4.76,152.65,402.51,158.84,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
Buc-ee's,12.86,412.41,"1,087.46",429.14,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
Six Flags Over Texas Parking,6,192.41,507.37,200.22,Travel,2024-10-12,Chase Checking,USD
Johnny Rockets,21.1,676.66,"1,784.24",704.12,Eating/Drinking Out,2024-10-12,UFCU Checking,USD
Six Flags Over Texas Drink,14.93,478.79,"1,262.50",498.22,Eating/Drinking Out,2024-10-12,Discover It Cashback,USD
CVS Pharmacy,2.26,72.48,191.11,75.42,Miscellaneous,2024-10-13,WF Checking,USD
Shug's Bagels,9.48,304.01,801.64,316.35,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
CVS Pharmacy,2.49,79.85,210.56,83.09,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
7 Brew Coffee,6,192.41,507.37,200.22,Eating/Drinking Out,2024-10-13,Chase Checking,USD
State Fair of Texas Parking,5,160.35,422.81,166.85,Travel,2024-10-13,WF Checking,USD
State Fair of Texas,25,801.73,"2,114.03",834.26,Entertainment,2024-10-13,UFCU Platinum Cashback,USD
State Fair of Texas Coupons,15,481.04,"1,268.42",500.56,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
Domino's,24.32,779.92,"2,056.53",811.57,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
WAYA Japanese Izakaya,14.08,451.53,"1,190.62",469.86,Eating/Drinking Out,2024-10-13,Discover It Cashback,USD
CVS Pharmacy,5.19,166.44,438.87,173.19,Groceries,2024-10-14,Chase Checking,USD
Wheatsville Co-Op,11,352.76,930.17,367.08,Groceries,2024-10-15,WF Checking,USD
Google One ,3.19,102.3,269.75,106.45,Subscriptions,2024-10-15,WF Checking,USD
Jester City Market,4.32,138.54,365.3,144.16,Groceries,2024-10-15,Chase Checking,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-10-16,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-10-16,Chase Checking,USD
FlixBus,77.97,2500.42,"6,593.23","2,601.90",Travel,2024-10-16,UFCU Platinum Cashback,USD
Target,9.92,318.12,838.85,331.04,Groceries,2024-10-16,UFCU Platinum Cashback,USD
Delta Airlines,178.48,5723.68,"15,092.48","5,955.97",Travel,2024-10-16,UFCU Platinum Cashback,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-10-16,WF Checking,USD
CVS Pharmacy,3.98,127.63,336.55,132.81,Groceries,2024-10-16,UFCU Platinum Cashback,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-10-18,Discover It Cashback,USD
Uber,14.93,478.79,"1,262.50",498.22,Travel,2024-10-18,UFCU Checking,USD
Shell,6.15,197.22,520.05,205.23,Eating/Drinking Out,2024-10-18,Discover It Cashback,USD
Uber,6.46,207.17,546.27,215.57,Travel,2024-10-18,Discover It Cashback,USD
Ultra Mobile,46.89,1503.72,"3,965.07","1,564.74",Utilities,2024-10-19,WF Checking,USD
Certus Airvac Service,1.75,56.12,147.98,58.4,Miscellaneous,2024-10-19,UFCU Platinum Cashback,USD
Karya Siddhi Hanuman Temple,18.35,588.47,"1,551.70",612.35,Eating/Drinking Out,2024-10-19,UFCU Checking,USD
Uber,5.36,171.89,453.25,178.87,Travel,2024-10-20,UFCU Platinum Cashback,USD
Uber,10.96,351.48,926.79,365.74,Travel,2024-10-20,UFCU Platinum Cashback,USD
Uber,19.95,639.78,"1,687.00",665.74,Travel,2024-10-20,UFCU Checking,USD
Salsa Limón,13.47,431.97,"1,139.04",449.5,Eating/Drinking Out,2024-10-21,Discover It Cashback,USD
CVS Pharmacy,5.29,169.65,447.33,176.53,Eating/Drinking Out,2024-10-22,Discover It Cashback,USD
Wheatsville Co-Op,24.96,800.44,"2,110.65",832.93,Groceries,2024-10-22,UFCU Checking,USD
Insurance Debt Protection,1.92,61.57,162.36,64.07,Fees,2024-10-22,UFCU Platinum Cashback,USD
Target,12.72,407.92,"1,075.62",424.47,Groceries,2024-10-22,UFCU Platinum Cashback,USD
7-Eleven,5.38,172.53,454.94,179.53,Eating/Drinking Out,2024-10-22,UFCU Platinum Cashback,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-10-23,WF Checking,USD
Texas Union Underground,7.5,240.52,634.21,250.28,Entertainment,2024-10-23,WF Checking,USD
Texas Union Underground,2.5,80.17,211.4,83.43,Eating/Drinking Out,2024-10-23,Discover It Cashback,USD
Orange Market,2.7,86.59,228.32,90.1,Eating/Drinking Out,2024-10-23,Discover It Cashback,USD
Vending Machine,2.8,89.79,236.77,93.44,Eating/Drinking Out,2024-10-24,Discover It Cashback,USD
Target,1.34,42.97,113.31,44.72,Groceries,2024-10-24,UFCU Platinum Cashback,USD
Rote Shaq,10.8,346.35,913.26,360.4,Eating/Drinking Out,2024-10-25,WF Checking,USD
Diwali Sparklers,6,192.41,507.37,200.22,Entertainment,2024-10-25,UFCU Checking,USD
Buffalo Exchange,21.65,694.29,"1,830.75",722.47,Apparel,2024-10-26,UFCU Checking,USD
Wheatsville Co-Op,8.48,271.95,717.08,282.98,Groceries,2024-10-26,UFCU Checking,USD
Foodie's Corner,3.99,127.96,337.4,133.15,Eating/Drinking Out,2024-10-26,UFCU Checking,USD
Foodie's Corner,3.24,103.9,273.98,108.12,Apparel,2024-10-26,UFCU Checking,USD
Orange Market,3.99,127.96,337.4,133.15,Eating/Drinking Out,2024-10-26,UFCU Checking,USD
Foodie's Corner,3.99,127.96,337.4,133.15,Eating/Drinking Out,2024-10-26,UFCU Checking,USD
New Guild Party,10,320.69,845.61,333.71,Entertainment,2024-10-26,Chase Checking,USD
Snax Basket,6.47,207.49,547.11,215.91,Eating/Drinking Out,2024-10-27,UFCU Checking,USD
Chi'Lantro BBQ,21.87,701.35,"1,849.35",729.81,Eating/Drinking Out,2024-10-27,WF Checking,USD
Target,8.63,276.76,729.76,287.99,Groceries,2024-10-28,UFCU Checking,USD
Target,7.63,244.69,645.2,254.62,Groceries,2024-10-28,WF Checking,USD
Terry Black's Barbecue,26.52,850.47,"2,242.56",884.99,Eating/Drinking Out,2024-10-28,UFCU Checking,USD
FlixBus,64.97,2083.52,"5,493.94","2,168.08",Travel,2024-10-29,WF Checking,USD
Target,30.6,981.31,"2,587.57","1,021.14",Groceries,2024-10-30,WF Checking,USD
CVS Pharmacy,2.69,86.27,227.47,89.77,Eating/Drinking Out,2024-10-30,UFCU Platinum Cashback,USD
HEB,3.98,127.63,336.55,132.81,Entertainment,2024-10-30,UFCU Platinum Cashback,USD
Foodie's Corner,5.48,175.74,463.4,182.87,Eating/Drinking Out,2024-10-31,UFCU Platinum Cashback,USD
Pearl Street Co-Op Party,15,481.04,"1,268.42",500.56,Entertainment,2024-10-31,UFCU Checking,USD
Strong PRO,5.4,173.17,456.63,180.2,Subscriptions,2024-11-01,WF Checking,USD
Chat Patta,11.9,381.62,"1,006.28",397.11,Eating/Drinking Out,2024-11-01,WF Checking,USD
Uber,9.99,320.37,844.77,333.37,Travel,2024-11-01,UFCU Checking,USD
Shell,10.79,346.02,912.41,360.07,Eating/Drinking Out,2024-11-01,Discover It Cashback,USD
Taco Bell,10.46,335.44,884.51,349.06,Eating/Drinking Out,2024-11-01,UFCU Checking,USD
Layalina Mediterranean Restaurant and Lounge,32.44,1040.32,"2,743.16","1,082.54",Eating/Drinking Out,2024-11-02,WF Checking,USD
The Saucy Hibachi,12.07,387.07,"1,020.65",402.78,Eating/Drinking Out,2024-11-02,WF Checking,USD
Buc-ee's,30.62,981.95,"2,589.26","1,021.80",Gas,2024-11-02,WF Checking,USD
Interest,12.58,403.43,"1,063.78",419.8,Fees,2024-11-02,Discover It Cashback,USD
Rent,877.49,28140.23,"74,201.57","29,282.28",Rent,2024-11-03,UFCU Checking,USD
Uber,11,352.76,930.17,367.08,Travel,2024-11-03,Discover It Cashback,USD
Chick-fil-A,10.38,332.88,877.74,346.39,Eating/Drinking Out,2024-11-04,Discover It Cashback,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-11-04,Discover It Cashback,USD
Vending Machine,2.5,80.17,211.4,83.43,Eating/Drinking Out,2024-11-05,WF Checking,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-11-05,Discover It Cashback,USD
Chick-fil-A,2.76,88.51,233.39,92.1,Eating/Drinking Out,2024-11-05,WF Checking,USD
Foodie's Corner,3.24,103.9,273.98,108.12,Eating/Drinking Out,2024-11-05,WF Checking,USD
Oma's Kitchen,12.95,415.29,"1,095.07",432.15,Eating/Drinking Out,2024-11-06,Discover It Cashback,USD
O's Cafe,2.48,79.53,209.71,82.76,Eating/Drinking Out,2024-11-06,Discover It Cashback,USD
ChatGPT Plus,21.28,682.43,"1,799.46",710.12,Subscriptions,2024-11-06,Discover It Cashback,USD
CVS Pharmacy,1.16,37.2,98.09,38.71,Eating/Drinking Out,2024-11-08,WF Checking,USD
Kerbey Lane Cafe,16.47,528.18,"1,392.72",549.61,Eating/Drinking Out,2024-11-08,Discover It Cashback,USD
Target,34.3,1099.97,"2,900.45","1,144.61",Groceries,2024-11-09,Discover It Cashback,USD
Home Depot,21.62,693.33,"1,828.21",721.47,Miscellaneous,2024-11-09,Discover It Cashback,USD
Tweedy's Bar,7.1,227.69,600.38,236.93,Eating/Drinking Out,2024-11-09,Discover It Cashback,USD
Wheatsville Co-Op,28.71,920.7,"2,427.75",958.07,Groceries,2024-11-10,Discover It Cashback,USD
Alamo Drafthouse,9.1,291.83,769.51,303.67,Entertainment,2024-11-10,WF Checking,USD
7-Eleven,5.18,166.12,438.03,172.86,Eating/Drinking Out,2024-11-11,WF Checking,USD
Chick-fil-A,10.23,328.07,865.06,341.38,Eating/Drinking Out,2024-11-12,Discover It Cashback,USD
Up & Atom,5.74,184.08,485.38,191.55,Eating/Drinking Out,2024-11-13,Discover It Cashback,USD
P. Terry's Burger Stand,13.15,421.71,"1,111.98",438.82,Eating/Drinking Out,2024-11-13,UFCU Platinum Cashback,USD
TikTok,25.6,820.97,"2,164.77",854.28,Miscellaneous,2024-11-14,Chase Freedom Flex,USD
Hook 'em Hut,5.17,165.8,437.18,172.53,Eating/Drinking Out,2024-11-14,Discover It Cashback,USD
Zanzibar,20.32,651.64,"1,718.28",678.09,Eating/Drinking Out,2024-11-14,Discover It Cashback,USD
Uber,5.5,176.38,465.09,183.54,Travel,2024-11-15,UFCU Checking,USD
Wheatsville Co-Op,11,352.76,930.17,367.08,Groceries,2024-11-15,Discover It Cashback,USD
FlixBus,87.97,2821.11,"7,438.85","2,935.60",Travel,2024-11-15,UFCU Platinum Cashback,USD
Madam Mam's Thai Cuisine,14.61,468.53,"1,235.44",487.54,Eating/Drinking Out,2024-11-15,UFCU Platinum Cashback,USD
Google One,3.19,102.3,269.75,106.45,Subscriptions,2024-11-16,WF Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-11-16,WF Checking,USD
Target,29.21,936.74,"2,470.03",974.75,Groceries,2024-11-16,Discover It Cashback,USD
Wheatsville Co-Op,11.98,384.19,"1,013.04",399.78,Groceries,2024-11-16,UFCU Platinum Cashback,USD
CVS Pharmacy,5.29,169.65,447.33,176.53,Eating/Drinking Out,2024-11-17,WF Checking,USD
ixigo,47.88,1535.54,"4,049.00","1,597.86",Travel,2024-11-17,Axis Bank Savings,INR
Ultra Mobile,46.89,1503.72,"3,965.07","1,564.74",Utilities,2024-11-18,WF Checking,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-11-18,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-11-18,Chase Checking,USD
7-Eleven,3.59,115.13,303.57,119.8,Eating/Drinking Out,2024-11-19,Chase Freedom Flex,USD
Target,3.74,119.94,316.26,124.81,Groceries,2024-11-19,Chase Freedom Flex,USD
Roppolo's Pizzeria,6.25,200.43,528.51,208.57,Eating/Drinking Out,2024-11-19,Chase Freedom Flex,USD
Target,7.63,244.69,645.2,254.62,Groceries,2024-11-21,Chase Freedom Flex,USD
Roppolo's Pizzeria,11.37,364.62,961.46,379.42,Eating/Drinking Out,2024-11-22,Discover It Cashback,USD
Interest,12.46,399.58,"1,053.63",415.8,Fees,2024-11-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,2.05,65.74,173.35,68.41,Fees,2024-11-22,UFCU Platinum Cashback,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-11-22,WF Checking,USD
Uber,8.95,287.02,756.82,298.67,Travel,2024-11-23,WF Checking,USD
Uber,10.97,351.8,927.64,366.07,Travel,2024-11-23,WF Checking,USD
Acha Spending,59.13,1896.2,"5,000.00","1,973.16",Miscellaneous,2024-11-27,Axis Bank Savings,INR
Airtel,23.64,758.1,"1,999.00",788.87,Utilities,2024-11-30,Axis Bank Savings,INR
Pinch,9.73,312.03,822.78,324.69,Eating/Drinking Out,2024-12-01,WF Checking,USD
Target,5.14,164.83,434.64,171.52,Groceries,2024-12-01,Chase Freedom Unlimited,USD
Target,11.12,356.61,940.32,371.08,Groceries,2024-12-02,Chase Freedom Unlimited,USD
Rent,877.49,28140.23,"74,201.57","29,282.28",Rent,2024-12-02,UFCU Checking,USD
CVS Pharmacy,8.53,273.55,721.31,284.65,Eating/Drinking Out,2024-12-02,UFCU Checking,USD
Interest,18.36,588.79,"1,552.54",612.68,Fees,2024-12-02,Discover It Cashback,USD
Netflix,16.77,537.8,"1,418.09",559.62,Subscriptions,2024-12-04,Discover It Cashback,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-12-04,Chase Freedom Unlimited,USD
Wheatsville Co-Op,17.01,545.49,"1,438.39",567.63,Groceries,2024-12-06,Chase Freedom Unlimited,USD
ChatGPT Plus,21.28,682.43,"1,799.46",710.12,Subscriptions,2024-12-06,Discover It Cashback,USD
Pearl Street Co-Op Party,10,320.69,845.61,333.71,Entertainment,2024-12-07,UFCU Checking,USD
Rain,5,160.35,422.81,166.85,Entertainment,2024-12-07,Chase Freedom Unlimited,USD
Chat Patta,12.98,416.26,"1,097.60",433.15,Eating/Drinking Out,2024-12-08,Chase Freedom Unlimited,USD
Target,19.61,628.87,"1,658.24",654.4,Groceries,2024-12-08,Chase Freedom Unlimited,USD
Target,3.54,113.52,299.35,118.13,Groceries,2024-12-08,Chase Freedom Unlimited,USD
Electricity & Internet,280.52,8996,"23,721.10","9,361.09",Utilities,2024-12-08,WF Checking,USD
CAVA,12.18,390.6,"1,029.95",406.45,Eating/Drinking Out,2024-12-08,WF Checking,USD
Overdraft Fee,35,1122.42,"2,959.64","1,167.97",Fees,2024-12-09,UFCU Checking,USD
Lucky Lab Coffee Co.,11.36,364.3,960.61,379.09,Eating/Drinking Out,2024-12-10,Chase Freedom Unlimited,USD
Jester City Market,2.59,83.06,219.01,86.43,Eating/Drinking Out,2024-12-10,Chase Freedom Unlimited,USD
Amazon,6.48,207.81,547.96,216.24,Miscellaneous,2024-12-10,Chase Freedom Unlimited,USD
Amazon,21.64,693.97,"1,829.90",722.14,Miscellaneous,2024-12-10,Chase Freedom Unlimited,USD
Taco Bell,9.83,315.24,831.24,328.03,Eating/Drinking Out,2024-12-11,Chase Freedom Unlimited,USD
Orange Market,3.24,103.9,273.98,108.12,Eating/Drinking Out,2024-12-12,Chase Freedom Unlimited,USD
Chick-fil-A,7.22,231.54,610.53,240.94,Eating/Drinking Out,2024-12-12,Chase Freedom Unlimited,USD
Target,18.31,587.18,"1,548.31",611.01,Groceries,2024-12-12,Chase Freedom Unlimited,USD
Madam Mam's Thai Cuisine,14.61,468.53,"1,235.44",487.54,Eating/Drinking Out,2024-12-11,WF Checking,USD
Target,18.31,587.18,"1,548.31",611.01,Groceries,2024-12-12,Chase Freedom Unlimited,USD
Chick-fil-A,4.82,154.57,407.58,160.85,Eating/Drinking Out,2024-12-13,Chase Freedom Unlimited,USD
Foodie's Corner,22.72,728.61,"1,921.23",758.18,Groceries,2024-12-13,Chase Freedom Unlimited,USD
Chat Patta,7.57,242.76,640.13,252.61,Eating/Drinking Out,2024-12-13,Chase Freedom Unlimited,USD
Target,12.76,409.2,"1,079.00",425.81,Groceries,2024-12-14,Chase Freedom Unlimited,USD
DJ Pauly D,47.36,1518.79,"4,004.82","1,580.43",Entertainment,2024-12-14,WF Checking,USD
Buc-ee's,5.41,173.49,457.48,180.53,Eating/Drinking Out,2024-12-14,Chase Freedom Unlimited,USD
Buc-ee's,7.58,243.08,640.97,252.95,Eating/Drinking Out,2024-12-15,Chase Freedom Unlimited,USD
Monthly Service Fee,10,320.69,845.61,333.71,Fees,2024-12-16,WF Checking,USD
Monthly Service Fee,12,384.83,"1,014.73",400.45,Fees,2024-12-16,Chase Checking,USD
iCloud+,2.99,95.89,252.84,99.78,Subscriptions,2024-12-16,WF Checking,USD
ATX Gyro,5.95,190.81,503.14,198.55,Eating/Drinking Out,2024-12-16,Chase Freedom Flex,USD
Crown & Anchor Pub,6,192.41,507.37,200.22,Eating/Drinking Out,2024-12-16,Chase Freedom Unlimited,USD
Target,7.45,239,630.21,248.7,Miscellaneous,2024-12-17,Chungwa Post Bank Passbook,USD
Target,18.12,581.09,"1,532.25",604.67,Miscellaneous,2024-12-17,Chase Freedom Unlimited,USD
Pilot Travel Center,11.57,371.04,978.37,386.1,Eating/Drinking Out,2024-12-17,Chase Freedom Unlimited,USD
Shell,2.91,93.32,246.07,97.11,Eating/Drinking Out,2024-12-17,Chase Freedom Unlimited,USD
Umami Ramen House,15.53,498.03,"1,313.23",518.24,Eating/Drinking Out,2024-12-17,Chase Freedom Unlimited,USD
Ultra Mobile,46.89,1503.72,"3,965.07","1,564.74",Utilities,2024-12-18,WF Checking,USD
Kinley's House Coffee & Tea,8.38,268.74,708.62,279.64,Eating/Drinking Out,2024-12-18,Chase Freedom Unlimited,USD
Kinley's House Coffee & Tea,6.13,196.58,518.36,204.56,Eating/Drinking Out,2024-12-18,Chase Freedom Unlimited,USD
City of Rocks State Park,1.25,40.09,105.7,41.71,Entertainment,2024-12-18,Chase Checking,USD
Wendy's,11.23,360.13,949.62,374.75,Eating/Drinking Out,2024-12-18,Chase Checking,USD
The Thing,12.78,409.84,"1,080.69",426.47,Apparel,2024-12-18,Chase Freedom Unlimited,USD
The Thing,5.33,170.93,450.71,177.86,Entertainment,2024-12-18,Chase Freedom Unlimited,USD
Thai Rama,18.57,595.52,"1,570.30",619.69,Eating/Drinking Out,2024-12-18,Chase Freedom Flex,USD
SOMISOMI,4.26,136.61,360.23,142.16,Eating/Drinking Out,2024-12-18,Chase Freedom Unlimited,USD
Albertson's,13.25,424.91,"1,120.44",442.16,Groceries,2024-12-18,Chase Checking,USD
Lottery,3.75,120.26,317.1,125.14,Miscellaneous,2024-12-18,Chase Checking,USD
Taco Bell,13.82,443.19,"1,168.64",461.18,Eating/Drinking Out,2024-12-19,Chase Freedom Unlimited,USD
Joshua Tree National Park Gift Shop,3.16,101.34,267.21,105.45,Miscellaneous,2024-12-19,Chase Freedom Unlimited,USD
Airbnb,50,1603.45,"4,228.06","1,668.53",Travel,2024-12-19,WF Checking,USD
Sky High Pie,19.14,613.8,"1,618.50",638.71,Eating/Drinking Out,2024-12-19,Chase Freedom Unlimited,USD
Star Market & Liquor,8,256.55,676.49,266.96,Eating/Drinking Out,2024-12-19,Chase Checking,USD
Walmart,14.88,477.19,"1,258.27",496.55,Miscellaneous,2024-12-19,Chase Freedom Unlimited,USD
JT Country Kitchen,20.83,668,"1,761.41",695.11,Eating/Drinking Out,2024-12-20,Chase Freedom Unlimited,USD
Alameda Night Market,8,256.55,676.49,266.96,Eating/Drinking Out,2024-12-20,WF Checking,USD
Ronny's Market & Liquor,14.1,452.17,"1,192.31",470.52,Eating/Drinking Out,2024-12-21,Chase Freedom Unlimited,USD
Angel's Tijuana Tacos,9,288.62,761.05,300.33,Eating/Drinking Out,2024-12-21,WF Checking,USD
Ralphs Fresh Fare,3,96.21,253.68,100.11,Eating/Drinking Out,2024-12-21,WF Checking,USD
Tatsu Ramen,23.01,737.91,"1,945.75",767.86,Eating/Drinking Out,2024-12-22,UFCU Platinum Cashback,USD
Sunright Tea Studio,6.95,222.88,587.7,231.92,Eating/Drinking Out,2024-12-22,Chase Freedom Unlimited,USD
La Brea Tar Pits and Museum,7,224.48,591.93,233.59,Entertainment,2024-12-22,WF Checking,USD
Los Angeles Athletic Club,22.34,716.42,"1,889.10",745.5,Eating/Drinking Out,2024-12-22,WF Checking,USD
Fugetsu-Do Bakery Shop,6.19,198.51,523.43,206.56,Eating/Drinking Out,2024-12-22,Chase Freedom Unlimited,USD
Joy,21.69,695.58,"1,834.13",723.81,Eating/Drinking Out,2024-12-22,Chase Freedom Unlimited,USD
Magpies Softserve,3.9,125.07,329.79,130.14,Eating/Drinking Out,2024-12-22,WF Checking,USD
Interest,13.81,442.87,"1,167.79",460.85,Fees,2024-12-22,UFCU Platinum Cashback,USD
Insurance Debt Protection,2.01,64.46,169.97,67.07,Fees,2024-12-22,UFCU Platinum Cashback,USD
Spotify,6.48,207.81,547.96,216.24,Subscriptions,2024-12-23,WF Checking,USD
Cafe Wild,54.4,1744.55,"4,600.13","1,815.36",Eating/Drinking Out,2024-12-23,Chase Freedom Unlimited,USD
Furaibo,20.37,653.25,"1,722.51",679.76,Eating/Drinking Out,2024-12-23,WF Checking,USD
Millet Crepe,10.4,333.52,879.44,347.05,Eating/Drinking Out,2024-12-23,Chase Freedom Unlimited,USD
Total Parking,9.33,299.2,788.96,311.35,Travel,2024-12-24,WF Checking,USD
Delta Airlines,35,1122.42,"2,959.64","1,167.97",Travel,2024-12-24,Chase Freedom Unlimited,USD
Fresh Brothers,15.11,484.56,"1,277.72",504.23,Eating/Drinking Out,2024-12-24,Chase Freedom Unlimited,USD
Dollar Tree,8.56,274.51,723.84,285.65,Groceries,2024-12-26,Chase Freedom Flex,USD
Milwaukee Joe's Artisan Ice Creams,9.5,304.66,803.33,317.02,Eating/Drinking Out,2024-12-27,Chase Freedom Unlimited,USD
Airtel,10.63,340.94,899,354.77,Utilities,2024-12-28,Axis Bank Savings,INR
